date,new year,isPartial
2019-12-08,11,False
2019-12-15,14,False
2019-12-22,23,False
2019-12-29,89,False
2020-01-05,27,False
2020-01-12,29,False
2020-01-19,100,False
2020-01-26,23,False
2020-02-02,8,False
2020-02-09,3,False
2020-02-16,2,False
2020-02-23,1,False
2020-03-01,1,False
2020-03-08,2,False
2020-03-15,1,False
2020-03-22,2,False
2020-03-29,1,False
2020-04-05,1,False
2020-04-12,6,False
2020-04-19,1,False
2020-04-26,1,False
2020-05-03,1,False
2020-05-10,1,False
2020-05-17,1,False
2020-05-24,1,False
2020-05-31,1,False
2020-06-07,1,False
2020-06-14,1,False
2020-06-21,1,False
2020-06-28,1,False
2020-07-05,1,False
2020-07-12,2,False
2020-07-19,1,False
2020-07-26,2,False
2020-08-02,2,False
2020-08-09,1,False
2020-08-16,2,False
2020-08-23,1,False
2020-08-30,1,False
2020-09-06,2,False
2020-09-13,2,False
2020-09-20,3,False
2020-09-27,3,False
2020-10-04,3,False
2020-10-11,3,False
2020-10-18,3,False
2020-10-25,3,False
2020-11-01,4,False
2020-11-08,5,False
2020-11-15,5,False
2020-11-22,5,False
2020-11-29,7,False
2020-12-06,8,False
2020-12-13,10,False
2020-12-20,17,False
2020-12-27,89,False
2021-01-03,25,False
